CIP_Code,CIP_Code_Title,School_Name,Total_Grads,Grads_PCT,Avg_Wage
52,Business; Management; Marketing; and Related Support Services,Southern Connecticut State University,211,0.7298578,9424.681818
54,History,Southern Connecticut State University,40,0.75,6143.533333
0,Total - All Programs,Western Connecticut State University,1089,0.7070707,9113.433766
5,Area; Ethnic; Cultural; Gender; and Group Studies,Western Connecticut State University,4,,
9,Communication; Journalism; and Related Programs,Western Connecticut State University,96,0.6979167,8163.985075
11,Computer and Information Sciences and Support Services,Western Connecticut State University,12,0.6666667,11355.125
13,Education,Western Connecticut State University,47,0.893617,8516.333333
16,Foreign Languages; Literatures; and Linguistics,Western Connecticut State University,5,1,8671
23,English Language and Literature/Letters,Western Connecticut State University,43,0.6976744,5507.866667
24,Liberal Arts and Sciences; General Studies and Humanities,Western Connecticut State University,14,0.5,8582.857143
26,Biological and Biomedical Sciences,Western Connecticut State University,38,0.6315789,6419.541667
27,Mathematics and Statistics,Western Connecticut State University,13,0.5384616,9461.428571
40,Physical Sciences,Western Connecticut State University,24,0.6666667,10311.3125
42,Psychology,Western Connecticut State University,94,0.680851,7190.265625
43,Homeland Security; Law Enforcement; Firefighting and Related Protective Services,Western Connecticut State University,144,0.6944444,8055.98
44,Public Administration and Social Service Professions,Western Connecticut State University,48,0.7916667,6071.684211
45,Social Sciences,Western Connecticut State University,48,0.625,7118.966667
50,Visual and Performing Arts,Western Connecticut State University,65,0.6307693,5176.365854
51,Health Professions and Related Programs,Western Connecticut State University,144,0.7986111,15271.04348
52,Business; Management; Marketing; and Related Support Services,Western Connecticut State University,221,0.7013575,9985.206452
54,History,Western Connecticut State University,29,0.6551724,6842.157895
