Item1,Item1Name,Item2,Item2Name,PairCt,ItemCt,Prob,Incumbents,SalaryDiff,Salary1,Salary2,Salary1Min,Salary2Min,Hyperlink
7,AGRICULTURAL/WEIGHTS & MEASURES INSPECTOR I,3096,METROLOGIST,1,89,0.01124,NA,848.36,5229,6077.36,4208.46,4633.56,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=3096' target = '_blank' >View Description</a>
9,AGRICULTURAL/WEIGHTS & MEASURES INSPECTOR II,11,AGRICULTURAL/WEIGHTS & MEASURES INSPECTOR III,42,45,0.93333,47,667.62,5827.56,6495.18,4443.1,4952.36,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0011' target = '_blank' >View Description</a>
9,AGRICULTURAL/WEIGHTS & MEASURES INSPECTOR II,9,AGRICULTURAL/WEIGHTS & MEASURES INSPECTOR II,3,45,0.06667,73,0,5827.56,5827.56,4443.1,4443.1,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0009' target = '_blank' >View Description</a>
11,AGRICULTURAL/WEIGHTS & MEASURES INSPECTOR III,26,DEPUTY AGRICULTURAL COMMISSIONER/SEALER,10,10,1,17,2323.1,6495.18,8818.28,4952.36,6723.56,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0026' target = '_blank' >View Description</a>
26,DEPUTY AGRICULTURAL COMMISSIONER/SEALER,26,DEPUTY AGRICULTURAL COMMISSIONER/SEALER,1,2,0.5,17,0,8818.28,8818.28,6723.56,6723.56,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0026' target = '_blank' >View Description</a>
26,DEPUTY AGRICULTURAL COMMISSIONER/SEALER,27,"DEP DIR, AGRIC COMM/WTS & MEAS (UC)",1,2,0.5,4,3656.18,8818.28,12474.46,6723.56,8241.68,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0027' target = '_blank' >View Description</a>
38,WEED AND PEST ABATEMENT WORKER,44,PEST CONTROL WORKER,1,1,1,7,608,3478,4086,2662,3125,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0044' target = '_blank' >View Description</a>
44,PEST CONTROL WORKER,398,AGRICULTURAL CHEMICAL SPRAYER,5,5,1,17,1130,4086,5216,3125,3977,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0398' target = '_blank' >View Description</a>
48,PEST EXTERMINATOR,398,AGRICULTURAL CHEMICAL SPRAYER,1,1,1,17,986.64,4229.36,5216,3233.74,3977,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0398' target = '_blank' >View Description</a>
49,PEST EXTERMINATOR WKG SUPVR,888,ADMINISTRATIVE ASSISTANT II,1,1,1,199,759.9,5038.92,5798.82,3844.18,4421.18,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0888' target = '_blank' >View Description</a>
196,FIRE SUPPRESSION AID,199,FIRE FIGHTER (56 HOUR),98,138,0.71014,1423,3697.64,3453.18,7150.82,2642.92,4892,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0199' target = '_blank' >View Description</a>
196,FIRE SUPPRESSION AID,197,SENIOR FIRE SUPPRESSION AID,32,138,0.23188,11,189.64,3453.18,3642.82,2642.92,2788.1,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0197' target = '_blank' >View Description</a>
196,FIRE SUPPRESSION AID,196,FIRE SUPPRESSION AID,6,138,0.04348,131,0,3453.18,3453.18,2642.92,2642.92,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0196' target = '_blank' >View Description</a>
196,FIRE SUPPRESSION AID,2708,DEPUTY SHERIFF,2,138,0.01449,7901,3627.46,3453.18,7080.64,2642.92,5399.1,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2708' target = '_blank' >View Description</a>
197,SENIOR FIRE SUPPRESSION AID,199,FIRE FIGHTER (56 HOUR),28,32,0.875,1423,3508,3642.82,7150.82,2788.1,4892,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0199' target = '_blank' >View Description</a>
197,SENIOR FIRE SUPPRESSION AID,197,SENIOR FIRE SUPPRESSION AID,4,32,0.125,11,0,3642.82,3642.82,2788.1,2788.1,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0197' target = '_blank' >View Description</a>
199,FIRE FIGHTER (56 HOUR),201,FIRE FIGHTER SPECIALIST (56 HOUR),480,492,0.97561,792,1367.46,7150.82,8518.28,4892,7239.1,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0201' target = '_blank' >View Description</a>
199,FIRE FIGHTER (56 HOUR),205,FIRE CAPTAIN (56 HOUR),9,492,0.01829,751,2923.18,7150.82,10074,4892,8560.82,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0205' target = '_blank' >View Description</a>
199,FIRE FIGHTER (56 HOUR),199,FIRE FIGHTER (56 HOUR),2,492,0.00407,1423,0,7150.82,7150.82,4892,4892,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0199' target = '_blank' >View Description</a>
199,FIRE FIGHTER (56 HOUR),2558,NETWORK SYSTEMS ADMINISTRATOR I,1,492,0.00203,21,-17.54,7150.82,7133.28,4892,5439.18,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2558' target = '_blank' >View Description</a>
201,FIRE FIGHTER SPECIALIST (56 HOUR),205,FIRE CAPTAIN (56 HOUR),414,421,0.98337,751,1555.72,8518.28,10074,7239.1,8560.82,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0205' target = '_blank' >View Description</a>
201,FIRE FIGHTER SPECIALIST (56 HOUR),201,FIRE FIGHTER SPECIALIST (56 HOUR),7,421,0.01663,792,0,8518.28,8518.28,7239.1,7239.1,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0201' target = '_blank' >View Description</a>
205,FIRE CAPTAIN (56 HOUR),208,BATTALION CHIEF/56 HOURS/,62,65,0.95385,200,3434.74,10074,13508.74,8560.82,11479.64,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0208' target = '_blank' >View Description</a>
205,FIRE CAPTAIN (56 HOUR),205,FIRE CAPTAIN (56 HOUR),3,65,0.04615,751,0,10074,10074,8560.82,8560.82,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0205' target = '_blank' >View Description</a>
208,BATTALION CHIEF/56 HOURS/,217,ASSISTANT FIRE CHIEF,20,21,0.95238,22,5743.32,13508.74,19252.06,11479.64,12719.54,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0217' target = '_blank' >View Description</a>
208,BATTALION CHIEF/56 HOURS/,219,"DEPUTY FIRE CHIEF, EMER OPNS (UC)",1,21,0.04762,10,8739.46,13508.74,22248.2,11479.64,14699.04,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0219' target = '_blank' >View Description</a>
211,"PILOT, FIRE SERVICES",213,"SENIOR PILOT, FIRE SERVICES",2,2,1,3,1072.64,10636.1,11708.74,8109.28,8927.36,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0213' target = '_blank' >View Description</a>
213,"SENIOR PILOT, FIRE SERVICES",213,"SENIOR PILOT, FIRE SERVICES",1,1,1,3,0,11708.74,11708.74,8927.36,8927.36,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0213' target = '_blank' >View Description</a>
217,ASSISTANT FIRE CHIEF,219,"DEPUTY FIRE CHIEF, EMER OPNS (UC)",11,12,0.91667,10,2996.14,19252.06,22248.2,12719.54,14699.04,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0219' target = '_blank' >View Description</a>
217,ASSISTANT FIRE CHIEF,220,"CHIEF DEPUTY, EMER OPNS, FIRE (UC)",1,12,0.08333,1,6458.5,19252.06,25710.56,12719.54,16986.58,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0220' target = '_blank' >View Description</a>
219,"DEPUTY FIRE CHIEF, EMER OPNS (UC)",220,"CHIEF DEPUTY, EMER OPNS, FIRE (UC)",3,3,1,1,3462.36,22248.2,25710.56,14699.04,16986.58,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0220' target = '_blank' >View Description</a>
220,"CHIEF DEPUTY, EMER OPNS, FIRE (UC)",223,COUNTY FORESTER & FIRE WARDEN,1,1,1,1,NA,25710.56,NA,16986.58,NA,No Job Description
224,"CHIEF DEPUTY, BUSINESS OPNS, FIRE (UC)",220,"CHIEF DEPUTY, EMER OPNS, FIRE (UC)",2,2,1,1,0,25710.56,25710.56,16986.58,16986.58,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0220' target = '_blank' >View Description</a>
225,"DEPUTY FIRE CHIEF, BUSINESS OPNS (UC)",224,"CHIEF DEPUTY, BUSINESS OPNS, FIRE (UC)",1,1,1,1,6458.5,19252.06,25710.56,12719.54,16986.58,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0224' target = '_blank' >View Description</a>
232,FIRE FIGHTING CONSTRUCT EQUIP OPER,232,FIRE FIGHTING CONSTRUCT EQUIP OPER,1,1,1,7,0,8518.28,8518.28,6495.18,6495.18,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0232' target = '_blank' >View Description</a>
234,SR FIRE FIGHTG CONSTRUCT EQUIP OPER,236,SUPVG FIRE FIGHTG CONSTR EQUIP OPER,1,1,1,1,1080.54,8993.46,10074,6857.1,7681.28,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0236' target = '_blank' >View Description</a>
282,ASSISTANT ARBORETUM GARDENER,283,ARBORETUM GARDENER,4,6,0.66667,9,437.36,3669,4106.36,2808,3140.46,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0283' target = '_blank' >View Description</a>
282,ASSISTANT ARBORETUM GARDENER,282,ASSISTANT ARBORETUM GARDENER,1,6,0.16667,5,0,3669,3669,2808,2808,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0282' target = '_blank' >View Description</a>
282,ASSISTANT ARBORETUM GARDENER,8595,CREW INSTRUCTOR,1,6,0.16667,71,1199,3669,4868,2808,3714.92,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=8595' target = '_blank' >View Description</a>
283,ARBORETUM GARDENER,284,SENIOR ARBORETUM GARDENER,1,3,0.33333,3,470.38,4106.36,4576.74,3140.46,3495.28,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0284' target = '_blank' >View Description</a>
283,ARBORETUM GARDENER,296,"SUPVR, SOUTH COAST BOTANIC GARDENS",1,3,0.33333,1,2405,4106.36,6511.36,3140.46,4964.74,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0296' target = '_blank' >View Description</a>
283,ARBORETUM GARDENER,5668,ENVIRONMENTAL HEALTH TECHNICIAN,1,3,0.33333,24,10.2,4106.36,4116.56,3140.46,3148.18,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=5668' target = '_blank' >View Description</a>
312,BIOLOGIST,313,SENIOR BIOLOGIST,1,1,1,5,1901.54,5798.82,7700.36,4421.18,5871.18,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0313' target = '_blank' >View Description</a>
326,FORESTRY TECHNICIAN,328,FORESTRY ASSISTANT,7,9,0.77778,17,4116.36,3834.92,7951.28,2934,5439.18,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0328' target = '_blank' >View Description</a>
326,FORESTRY TECHNICIAN,199,FIRE FIGHTER (56 HOUR),2,9,0.22222,1423,3315.9,3834.92,7150.82,2934,4892,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0199' target = '_blank' >View Description</a>
328,FORESTRY ASSISTANT,331,DEPUTY FORESTER,5,5,1,11,976.08,7951.28,8927.36,5439.18,6107.18,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0331' target = '_blank' >View Description</a>
331,DEPUTY FORESTER,331,DEPUTY FORESTER,1,1,1,11,0,8927.36,8927.36,6107.18,6107.18,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0331' target = '_blank' >View Description</a>
335,"ASSISTANT CHIEF, FORESTRY",336,"CHIEF, FORESTRY DIVISION",1,1,1,2,5007.88,11651.46,16659.34,8883.74,11006.58,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0336' target = '_blank' >View Description</a>
336,"CHIEF, FORESTRY DIVISION",219,"DEPUTY FIRE CHIEF, EMER OPNS (UC)",1,1,1,10,5588.86,16659.34,22248.2,11006.58,14699.04,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0219' target = '_blank' >View Description</a>
343,INSTITUTIONAL GARDENING MANAGER,7374,POWER EQUIPMENT OPERATOR,1,1,1,67,780.64,5076,5856.64,3872,4714.18,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=7374' target = '_blank' >View Description</a>
344,PLANT NURSERY WORKER,344,PLANT NURSERY WORKER,1,2,0.5,2,0,4313,4313,3297,3297,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0344' target = '_blank' >View Description</a>
344,PLANT NURSERY WORKER,8595,CREW INSTRUCTOR,1,2,0.5,71,555,4313,4868,3297,3714.92,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=8595' target = '_blank' >View Description</a>
352,GROUNDS MAINTENANCE WORKER I,354,GROUNDS MAINTENANCE WORKER II,78,113,0.69027,98,414.9,3495.28,3910.18,2675.28,2991.46,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0354' target = '_blank' >View Description</a>
352,GROUNDS MAINTENANCE WORKER I,6061,REFUSE TRUCK HELPER,9,113,0.07965,6,34.54,3495.28,3529.82,2675.28,2701.82,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=6061' target = '_blank' >View Description</a>
352,GROUNDS MAINTENANCE WORKER I,352,GROUNDS MAINTENANCE WORKER I,3,113,0.02655,164,0,3495.28,3495.28,2675.28,2675.28,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0352' target = '_blank' >View Description</a>
352,GROUNDS MAINTENANCE WORKER I,6619,GENERAL MAINTENANCE WORKER,3,113,0.02655,145,807.28,3495.28,4302.56,2675.28,3289.1,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=6619' target = '_blank' >View Description</a>
352,GROUNDS MAINTENANCE WORKER I,8595,CREW INSTRUCTOR,3,113,0.02655,71,1372.72,3495.28,4868,2675.28,3714.92,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=8595' target = '_blank' >View Description</a>
352,GROUNDS MAINTENANCE WORKER I,358,SENIOR GROUNDS MAINTENANCE WORKER,2,113,0.0177,21,817.72,3495.28,4313,2675.28,3297,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0358' target = '_blank' >View Description</a>
352,GROUNDS MAINTENANCE WORKER I,7364,LIGHT TRACTOR OPERATOR,2,113,0.0177,2,734.08,3495.28,4229.36,2675.28,3233.74,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=7364' target = '_blank' >View Description</a>
352,GROUNDS MAINTENANCE WORKER I,282,ASSISTANT ARBORETUM GARDENER,1,113,0.00885,5,173.72,3495.28,3669,2675.28,2808,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0282' target = '_blank' >View Description</a>
352,GROUNDS MAINTENANCE WORKER I,1138,INTERMEDIATE CLERK,1,113,0.00885,2919,-17.28,3495.28,3478,2675.28,2592,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1138' target = '_blank' >View Description</a>
352,GROUNDS MAINTENANCE WORKER I,1359,OWNERSHIP CLERK I,1,113,0.00885,46,121.36,3495.28,3616.64,2675.28,2695.18,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1359' target = '_blank' >View Description</a>
352,GROUNDS MAINTENANCE WORKER I,2214,INTERMEDIATE TYPIST-CLERK,1,113,0.00885,3659,69.08,3495.28,3564.36,2675.28,2655.64,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2214' target = '_blank' >View Description</a>
352,GROUNDS MAINTENANCE WORKER I,2749,CUSTODY ASSISTANT,1,113,0.00885,1421,1824.72,3495.28,5320,2675.28,4056.28,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2749' target = '_blank' >View Description</a>
352,GROUNDS MAINTENANCE WORKER I,6049,MEDIUM TRUCK DRIVER,1,113,0.00885,40,443.54,3495.28,3938.82,2675.28,3354.28,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=6049' target = '_blank' >View Description</a>
352,GROUNDS MAINTENANCE WORKER I,6051,HEAVY TRUCK DRIVER,1,113,0.00885,93,915.08,3495.28,4410.36,2675.28,3751.64,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=6051' target = '_blank' >View Description</a>
352,GROUNDS MAINTENANCE WORKER I,6587,MARINA MAINTENANCE WORKER,1,113,0.00885,10,871.82,3495.28,4367.1,2675.28,3337.92,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=6587' target = '_blank' >View Description</a>
352,GROUNDS MAINTENANCE WORKER I,6610,EQUIPMENT MAINTENANCE WORKER,1,113,0.00885,42,1149.64,3495.28,4644.92,2675.28,3948.36,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=6610' target = '_blank' >View Description</a>
352,GROUNDS MAINTENANCE WORKER I,6973,PAINTER,1,113,0.00885,82,1817.62,3495.28,5312.9,2675.28,5312.9,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=6973' target = '_blank' >View Description</a>
352,GROUNDS MAINTENANCE WORKER I,6976,SIGN PAINTER,1,113,0.00885,5,1817.62,3495.28,5312.9,2675.28,5312.9,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=6976' target = '_blank' >View Description</a>
352,GROUNDS MAINTENANCE WORKER I,7196,STATIONARY ENGINEER APP,1,113,0.00885,NA,2907.76,3495.28,6403.04,2675.28,4326.38,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=7196' target = '_blank' >View Description</a>
352,GROUNDS MAINTENANCE WORKER I,7268,IRRIGATION & LAWN SPRINKLER FITTER,1,113,0.00885,26,1949.06,3495.28,5444.34,2675.28,5444.34,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=7268' target = '_blank' >View Description</a>
354,GROUNDS MAINTENANCE WORKER II,358,SENIOR GROUNDS MAINTENANCE WORKER,22,49,0.44898,21,402.82,3910.18,4313,2991.46,3297,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0358' target = '_blank' >View Description</a>
354,GROUNDS MAINTENANCE WORKER II,7268,IRRIGATION & LAWN SPRINKLER FITTER,7,49,0.14286,26,1534.16,3910.18,5444.34,2991.46,5444.34,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=7268' target = '_blank' >View Description</a>
354,GROUNDS MAINTENANCE WORKER II,6619,GENERAL MAINTENANCE WORKER,4,49,0.08163,145,392.38,3910.18,4302.56,2991.46,3289.1,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=6619' target = '_blank' >View Description</a>
354,GROUNDS MAINTENANCE WORKER II,8595,CREW INSTRUCTOR,4,49,0.08163,71,957.82,3910.18,4868,2991.46,3714.92,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=8595' target = '_blank' >View Description</a>
354,GROUNDS MAINTENANCE WORKER II,378,BEACH MAINTENANCE SUPERVISOR,3,49,0.06122,8,1746.82,3910.18,5657,2991.46,4313,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0378' target = '_blank' >View Description</a>
354,GROUNDS MAINTENANCE WORKER II,354,GROUNDS MAINTENANCE WORKER II,2,49,0.04082,98,0,3910.18,3910.18,2991.46,2991.46,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0354' target = '_blank' >View Description</a>
354,GROUNDS MAINTENANCE WORKER II,6610,EQUIPMENT MAINTENANCE WORKER,2,49,0.04082,42,734.74,3910.18,4644.92,2991.46,3948.36,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=6610' target = '_blank' >View Description</a>
354,GROUNDS MAINTENANCE WORKER II,7365,UTILITY TRACTOR OPERATOR,2,49,0.04082,23,1383.82,3910.18,5294,2991.46,4036.46,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=7365' target = '_blank' >View Description</a>
354,GROUNDS MAINTENANCE WORKER II,4884,FORENSIC ATTENDANT,1,49,0.02041,22,392.38,3910.18,4302.56,2991.46,3289.1,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=4884' target = '_blank' >View Description</a>
354,GROUNDS MAINTENANCE WORKER II,6051,HEAVY TRUCK DRIVER,1,49,0.02041,93,500.18,3910.18,4410.36,2991.46,3751.64,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=6051' target = '_blank' >View Description</a>
354,GROUNDS MAINTENANCE WORKER II,8798,RECREATION SERVICES SUPERVISOR,1,49,0.02041,78,1216.74,3910.18,5126.92,2991.46,3910.18,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=8798' target = '_blank' >View Description</a>
358,SENIOR GROUNDS MAINTENANCE WORKER,361,GROUNDS MAINTENANCE SUPERVISOR,10,15,0.66667,11,519,4313,4832,3297,3687.36,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0361' target = '_blank' >View Description</a>
358,SENIOR GROUNDS MAINTENANCE WORKER,358,SENIOR GROUNDS MAINTENANCE WORKER,1,15,0.06667,21,0,4313,4313,3297,3297,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0358' target = '_blank' >View Description</a>
358,SENIOR GROUNDS MAINTENANCE WORKER,363,"LANDSCAPE CONTRACT MONITOR, PARKS AND REC",1,15,0.06667,9,1824,4313,6137,3297,4679,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0363' target = '_blank' >View Description</a>
358,SENIOR GROUNDS MAINTENANCE WORKER,6622,SENIOR GENERAL MAINTENANCE WORKER,1,15,0.06667,86,483.28,4313,4796.28,3297,3660.28,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=6622' target = '_blank' >View Description</a>
358,SENIOR GROUNDS MAINTENANCE WORKER,7268,IRRIGATION & LAWN SPRINKLER FITTER,1,15,0.06667,26,1131.34,4313,5444.34,3297,5444.34,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=7268' target = '_blank' >View Description</a>
358,SENIOR GROUNDS MAINTENANCE WORKER,7365,UTILITY TRACTOR OPERATOR,1,15,0.06667,23,981,4313,5294,3297,4036.46,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=7365' target = '_blank' >View Description</a>
361,GROUNDS MAINTENANCE SUPERVISOR,8845,ASST REGIONAL GRNDS MAINT SUPVR,4,7,0.57143,5,1366.46,4832,6198.46,3687.36,4725.92,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=8845' target = '_blank' >View Description</a>
361,GROUNDS MAINTENANCE SUPERVISOR,363,"LANDSCAPE CONTRACT MONITOR, PARKS AND REC",1,7,0.14286,9,1305,4832,6137,3687.36,4679,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0363' target = '_blank' >View Description</a>
361,GROUNDS MAINTENANCE SUPERVISOR,8595,CREW INSTRUCTOR,1,7,0.14286,71,36,4832,4868,3687.36,3714.92,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=8595' target = '_blank' >View Description</a>
361,GROUNDS MAINTENANCE SUPERVISOR,8836,REGIONAL PARK SUPERINTENDENT I,1,7,0.14286,13,811.28,4832,5643.28,3687.36,4302.56,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=8836' target = '_blank' >View Description</a>
363,"LANDSCAPE CONTRACT MONITOR, PARKS AND REC",8837,REGIONAL PARK SUPERINTENDENT II,1,4,0.25,4,1658.82,6137,7795.82,4679,5943.92,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=8837' target = '_blank' >View Description</a>
363,"LANDSCAPE CONTRACT MONITOR, PARKS AND REC",8845,ASST REGIONAL GRNDS MAINT SUPVR,1,4,0.25,5,61.46,6137,6198.46,4679,4725.92,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=8845' target = '_blank' >View Description</a>
